상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),창고면적(종합),관련법률,취급품목,위도,경도
B,1108105034,"인천광역시 중구 서해대로 143, 5층 (항동7가)",7116.99,0,7116.99,물류시설법,CJ공산품 외 3PL 공산품,37.4505909,126.6248128
B,1108105034,"인천광역시 서구 거북로 13, 인천 석남동 에스앤케이 복합물류센터 5층 (석남동)",4152,0,4152,물류시설법,기계부품(전동기),37.5037423,126.668249
B,1108105034,"경기도 군포시 번영로 82-1, 한국복합물류(주) A동 A동 2층 (부곡동)",2128.93,0,2128.93,물류시설법,전기전자,37.3309195,126.9371945
B,108105034,"인천광역시 서구 원석로 196, 6층 (원창동)",14183,0,14183,물류시설법,택배화물,37.5056481,126.6399035
B,1108105034,경기도 이천시 백사면 청백리로 287,21232.6,0,21232.6,물류시설법,신발 악세서리 등,37.3215632,127.4964683
B,1108105034,"경기도 용인시 처인구 백암면 죽양대로904번길 63, 3~4층",9307.9,0,9307.9,물류시설법,"화장품, 잡화(청소용 테이프 클리너)",37.1488437,127.3896973
B,1108105034,충청남도 천안시 서북구 직산읍 양당로 6,3418.3,0,3418.3,물류시설법,항공 및 육상화물,36.873827,127.1098258
B,1108105034,경기도 안성시 죽산면 걸미로 723-9,11247,0,11247,물류시설법,"가전제품,가구류",37.0593003,127.4085248
B,1108105034,경기도 군포시 공단로36번길 1 (당정동),3352.25,0,3352.25,물류시설법,택배상품,37.3494055,126.9507289
B,1108105034,강원특별자치도 원주시 문막읍 좁은목길 60,2136.6,0,2136.6,물류시설법,재난관리자원,37.318276,127.83707
B,1108105034,"경기도 용인시 처인구 남사읍 형제로 26, 2~5층",69071.07,2940.49,72011.56,물류시설법,"잡화, 생활용품 등",37.1460296,127.160188
B,1108105034,"인천광역시 서구 원석로 196, 8층 (원창동)",7326,0,7326,물류시설법,공산품,37.5056481,126.6399035
B,1108105034,경기도 이천시 호법면 안평로 59-35,2205,0,2205,물류시설법,잡화,37.2282845,127.4238184
B,1108105034,"인천광역시 서구 갑문3로 26, 1동 (오류동)",1689,0,1689,물류시설법,"생수,복사지,탄산음료",37.5660103,126.6030375
B,1108105034,"경기도 김포시 고촌읍 아라육로57번길 108, 3층",3528,0,3528,물류시설법,공산품(약품),37.5914653,126.7974734
B,1108105034,"경기도 김포시 고촌읍 아라육로57번길 45, 2층",4958.7,0,4958.7,물류시설법,공산품(CPG),37.5906051,126.7938308
B,1108105034,경기도 이천시 장호원읍 경충대로 634,29105.17,0,29105.17,물류시설법,"잡화, 생활용품 등",37.1439005,127.5925181
B,1108105034,"경기도 이천시 호법면 중부대로798번길 106, B2층",0,2753,2753,물류시설법,식품,37.2367185,127.4118461
B,1108105034,충청북도 제천시 원강저로 39 (강제동),1290.66,0,1290.66,물류시설법,집배송물품,37.1135159,128.2219956
B,1108105034,경기도 광주시 직동로 19-5 (직동),2810.16,0,2810.16,물류시설법,택배물퓸,37.3995039,127.2011777
B,1108105034,경상북도 안동시 서후면 북평로 167,3273,0,3273,물류시설법,택배물,36.6369615,128.7008858
B,1108105034,"경기도 부천시 오정구 신흥로511번길 144, 부흥상사 오정물류단지 물류창고 (오정동)",2296.6,0,2296.6,물류시설법,택배물품,37.528943,126.7745247
B,1108105034,경기도 고양시 덕양구 동헌로235번길 28 (대자동),2128.48,0,2128.48,물류시설법,택배물품,37.7125593,126.8808139
B,1108105034,"경기도 여주시 가남읍 경충대로 1049, 지하2층",5523.18,0,5523.18,물류시설법,KF94 마스크,37.2024843,127.5474683
B,1108105034,경기도 이천시 마장면 덕평로 831-35,16182,0,16182,물류시설법,"식품, 사료, 와인 등",37.2323182,127.3638624
B,1108105034,"경기도 김포시 고촌읍 아라육로57번길 108, 1층",8550.64,0,8550.64,물류시설법,택배상품,37.5914653,126.7974734
