상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
B,1108105034,충청북도 제천시 원강저로 39 (강제동),1290.66,0,물류시설법,집배송물품,37.1135159,128.2219956
B,1108105034,경기도 광주시 직동로 19-5 (직동),2810.16,0,물류시설법,택배물퓸,37.3995039,127.2011777
B,1108105034,경상북도 안동시 서후면 북평로 167,3273,0,물류시설법,택배물,36.6369615,128.7008858
B,1108105034,"경기도 부천시 오정구 신흥로511번길 144, 부흥상사 오정물류단지 물류창고 (오정동)",2296.6,0,물류시설법,택배물품,37.528943,126.7745247
B,1108105034,경기도 고양시 덕양구 동헌로235번길 28 (대자동),2128.48,0,물류시설법,택배물품,37.7125593,126.8808139
B,1108105034,"경기도 여주시 가남읍 경충대로 1049, 지하2층",5523.18,0,물류시설법,KF94 마스크,37.2024843,127.5474683
B,1108105034,경기도 이천시 마장면 덕평로 831-35,16182,0,물류시설법,"식품, 사료, 와인 등",37.2323182,127.3638624
B,1108105034,"경기도 김포시 고촌읍 아라육로57번길 108, 1층",8550.64,0,물류시설법,택배상품,37.5914653,126.7974734
B,1108105034,경상남도 창원시 의창구 북면 신촌본포로 315,4800,0,물류시설법,경남도 재난관리 물품,35.3549223,128.6346919
B,1108105034,"경기도 군포시 번영로 82, 한국복합물류(주) 관리동 A동 3층 (부곡동)",2128.93,0,물류시설법,화장품,37.3309195,126.9371945
B,1108105034,경기도 화성시 안녕남로 181 (안녕동),25765,0,물류시설법,의약품,37.1981073,126.987072
B,1108105034,경상북도 상주시 외서면 북상주로 877,1879.75,0,물류시설법,택배물품,36.4888476,128.1685874
B,1108105034,경기도 이천시 마장면 서이천로 288,39773,0,물류시설법,"의류, 생활용품",37.262011,127.3855957
B,1108105034,"경기도 용인시 처인구 남사읍 형제로 26, 1층",0,8137.8,물류시설법,"냉장, 냉동식품",37.1460296,127.160188
B,1108105034,경기도 안성시 양성면 양성로 478-24,16743.36,0,물류시설법,택배상품,37.0947136,127.2126301
B,1108105034,"경기도 김포시 고촌읍 아라육로 37, 지하1층",9190,0,물류시설법,택배물품,37.5914074,126.7950107
B,1108105034,강원특별자치도 강릉시 성산면 공제로 57-28,2952.65,0,물류시설법,택배상품,37.7254033,128.8359288
B,1108105034,충청남도 서산시 남부순환로 15(수석동),1350.51,0,물류시설법,"고객사 상품(쌀, 마스크, 고구마 외)",36.7529972,126.4956023
B,1108105034,"경기도 여주시 대신면 여양로 1303, 1동 1(일부)층",2251.24,0,물류시설법,"가구류, 방제용품류",37.3711353,127.6007664
B,1108105034,충청북도 진천군 이월면 밤디길 145,0,16234.6,물류시설법,"냉동식품(만두,치킨,냉동밥 등)",36.9279989,127.4558094
