상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
D,1028123012,"경기도 안산시 단원구 해안로 201, 롯데알미늄(주) 안산공장 (원시동)",3839.73,0,물류시설법,연포장은박지,37.29855588,126.8152092
D,1028123012,경기도 안산시 단원구 원시로 239-13 (원시동),1876.5,0,물류시설법,골판지,37.31422454,126.7821256
D,1028123012,경상남도 김해시 김해대로2662번길 19 (지내동),1778.58,1171.47,물류시설법,건과류,35.2276987,128.919861
D,1028123012,경상남도 김해시 칠산로 128-1 (신문동),41174.33,0,물류시설법,"식음료,생필품",35.20278624,128.8508622
D,1028123012,서울특별시 금천구 디지털로 154 (가산동),13516.93,0,물류시설법,"일반포장화물, 반도체장비",37.4768651,126.8844249
D,1028123012,"서울특별시 송파구 송파대로 55, c동 205호 (장지동,서울복합물류)",107504.03,23371.96,물류시설법,"공산품, 잡화",37.51358099,127.0996394
D,4748101024,경기도 이천시 부발읍 중부대로2000번길 35,25363,0,물류시설법,생활용품,37.2892804,127.5332717
D,1028123012,강원특별자치도 원주시 소초면 북원로 3062-6,4030.47,1157,물류시설법,"식품,잡화,음료,담배,냉장 등",37.4392735,127.978618
D,1028123012,"경기도 용인시 기흥구 하갈로86번길 46, 롯데슈퍼물류센타 (하갈동)",4930.25,5623.14,물류시설법,"일상용품, 농수산 및 축산품",37.25535289,127.1023667
D,1028123012,"경기도 용인시 처인구 원삼면 보개원삼로 2160, 화인물류",15862,0,물류시설법,의류,37.15924239,127.3144535
D,1028123012,경기도 용인시 기흥구 동백죽전대로 289 (중동),7590,0,물류시설법,"상온식품, 공산품",37.31644148,127.1248778
D,1028123012,대구광역시 달성군 하빈면 하빈로171길 28-23,3666,0,물류시설법,"식품, 식 가공품, 잡화",35.93383983,128.4637605
D,1028123012,경기도 이천시 마장면 둔터로 42,3802,0,물류시설법,생활용품,37.28649336,127.4019912
D,4748101024,경기도 이천시 대월면 대월로 916,7933,0,물류시설법,생활용품,37.21571253,127.4950738
D,4748101024,경기도 이천시 마장면 프리미엄아울렛로 113-60,24906,0,물류시설법,생활용품,37.24522515,127.3920284
D,1028123012,"경기도 광명시 남부순환로 1092, 롯데물류센터 1층 (철산동)",9557.92,4410.9,물류시설법,"롯데제과(빙과),칠성음료(주류)",37.48757744,126.8744085
D,1028123012,세종특별자치시 부강면 시목부강로 608-7,5308.5,0,물류시설법,"담배, 식품, 잡화",36.49610005,127.3950727
D,1028123012,"충청남도 천안시 서북구 입장면 용정도하길 215-19, 3층",6208.87,0,물류시설법,의류 및 홈쇼핑 상품,36.92421234,127.1886766
D,1028123012,경기도 성남시 중원구 사기막골로45번길 15 (상대원동),5912.31,0,물류시설법,공산품,37.43714954,127.1691594
D,1028123012,경기도 안성시 일죽면 사실로 358,2118,0,물류시설법,"양곡,잡곡",37.14387813,127.437226
D,1028123012,경기도 고양시 일산동구 고봉로819번길 60 (설문동),2360.24,0,물류시설법,공산품 및 잡화,37.72915302,126.7984298
D,1028123012,경기도 김포시 고촌읍 아라육로182번길 23 (롯데마트몰물류센터),14125.02,9554.79,물류시설법,"농수산 및 축산품, 일상용품",37.59626095,126.7812425
D,1028123012,대구광역시 동구 팔공로53길 96(봉무동),4380,0,물류시설법,롯데제과 과자류,35.9251408,128.6403033
D,1028123012,경상남도 양산시 물금읍 제방로 225,6959,0,물류시설법,택배물품,35.31362026,129.0178197
D,1028123012,전북특별자치도 완주군 봉동읍 완주산단7로 55,1080.57,0,물류시설법,생활용품,35.95535579,127.1295445
D,1028123012,"경기도 오산시 경기동로186번길 15, 롯데오산물류센터 (부산동)",49308.78,0,물류시설법,"식음료, 생필품류",37.15744985,127.092327
D,1028123012,"인천광역시 중구 공항동로296번길 146-2 (운서동, 현대로지스틱스)",2630.36,367.29,물류시설법,반도체 부품 외,37.4775871,126.4760856
D,1028123012,인천광역시 중구 서해대로 135 (항동7가),2358.09,0,물류시설법,택배 소화물,37.44635342,126.6228662
D,1028123012,경기도 용인시 수지구 수지로 422 (동천동),1200,0,물류시설법,택배소화물,37.3115743,127.0773859
D,1028123012,경상북도 구미시 화신로8길 4-59 (광평동),1196,0,물류시설법,"택배화물(의류,생필품 등)",36.1146363,128.3546753
D,1028123012,경기도 안성시 죽산면 걸미로 145-29,14614,0,물류시설법,의류,37.07188755,127.4143329
D,1028123012,"경기도 군포시 번영로 82, 한국복합물류(주) 관리동 N,Q동 (부곡동)",14664,0,물류시설법,"백화점몰,커튼 등",37.32966425,126.9335648
D,1028123012,대구광역시 동구 혁신대로 85(율암동),11567.78,0,물류시설법,"택배소화물(의류,생필품)",35.87471204,128.742311
D,1028123012,"경기도 의왕시 고산로 86 (고천동, 롯데제과 의왕물류창고)",8866,0,물류시설법,건과류(과자),37.35204095,126.9621563
D,1028123012,경기도 남양주시 진접읍 양진로 962,3564,0,물류시설법,택배소화물,37.7052312,127.1819198
D,1028123012,충청남도 천안시 서북구 성거읍 삼곡2길 6,4628.09,0,물류시설법,화장품,36.89455528,127.1868962
D,1028123012,충청남도 천안시 서북구 성거읍 망향로 903-11,2250,0,물류시설법,"택배소화물,의류 등",36.8886248,127.2050042
D,1028123012,경기도 광주시 오포로 614 (문형동),4628.92,0,물류시설법,"유기농제품, 가공식품",37.3705265,127.2324613
D,1028123012,경기도 이천시 마장면 덕평로 831-59 (현대로지스틱스덕평물류센터),126251,0,물류시설법,"의류, 잡화",37.25426013,127.3607841
D,1028123012,경상남도 창원시 의창구 차상로106번길 4 (팔용동),1240,0,물류시설법,택배,35.23449314,128.6366804
