출발지/목적지,,,,,,기간: (2021~2021),,,,,,,,단위(톤/년),,,,
,서울,부산,대구,인천,광주,세종,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,total
서울,"35,820,763","1,028,857","289,488","1,806,951","213,471","134,196","340,934","609,983","18,468,535","995,461","1,237,892","1,894,318","281,431","699,408","1,442,676","901,098",0,"66,165,462"
부산,"1,778,726","41,926,722","1,871,581","3,567,405","932,604","597,952","720,759","13,254,480","17,910,171","767,964","4,428,011","4,076,760","1,551,987","2,461,425",11577889,22807538,0,"130,231,974"
대구,703622,3463283,11362561,406084,294949,130375,312078,1720047,2359284,491472,1146245,1590905,573326,865550,8258078,3385826,0,"37,063,685"
인천,12312791,3492160,665359,96896361,526224,563156,1041055,2648770,65674173,3685178,5027923,9785673,1735270,3837331,4798951,2747329,0,"215,437,704"
광주,442880,2507353,241338,406875,7264710,57331,226657,961727,1903319,188881,500229,1148128,989557,8213525,1002568,1220583,0,"27,275,661"
대전,181335,1449224,85756,247595,71934,113024,4041811,219687,871498,113149,712155,876909,193770,272482,560180,287143,0,"10,297,652"
울산,280573,15144010,640576,374213,195286,76359,172952,93584105,1837550,445745,746232,1167834,440267,1463811,4750247,4100706,0,"125,420,466"
경기,23502069,18727078,2093957,21550101,1383914,1769412,3183600,5185270,158727338,10331182,16233454,42384731,5801052,6596265,12079379,6449160,0,"335,997,962"
강원,1712598,1577622,838283,1226560,334002,438456,610815,1826645,10625502,34777451,5011748,4321937,1594788,2168302,7095292,2359287,0,"76,519,288"
충북,1787908,3498693,1022705,1314728,495017,1365015,1615031,2632731,11390776,4421357,18673745,8319738,2170671,2881284,6465915,2894703,0,"70,950,017"
충남,3133155,5995752,1104440,3326514,915501,1703545,2707191,3007123,24265196,2748830,7498867,75412416,5259169,4494204,6077487,3454049,0,"151,103,439"
전북,2280634,3220467,1342879,1407131,2426137,639662,2057164,2318158,9901676,1905650,4455319,9637402,34733993,9420263,6466675,5101324,0,"97,314,534"
전남,1752650,4211482,1623073,1473852,7197753,1653848,1236053,4933737,10952230,2775987,5399438,8226017,8391869,127099079,8599864,9656949,0,"205,183,881"
경북,1728908,17697016,4110247,1309843,716842,392850,954677,9188869,7439346,2480353,4545593,4675973,1912089,3566949,60671893,6960685,0,"128,352,133"
경남,1192047,28271753,2782419,894255,883410,300055,765900,9815890,5612941,1629898,2662537,3572679,2290020,5762710,9685461,68449459,0,"144,571,434"
제주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8837435,"8,837,435"
세종,277677,495977,166792,296828,102498,2342547,597467,300262,2321408,522014,3417475,3711632,582857,650042,1191487,479179,0,"17,456,142"
