출발지/목적지,,,,,,기간: (2015~2015),,,,,,,,단위(톤/년),,,,
,서울,부산,대구,인천,광주,세종,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,total
서울,"26,254,143","1,172,486","523,284","4,970,456","545,552","205,458","516,123","3,237,065","24,408,646","1,344,008","1,676,952","5,456,325","1,188,710","7,298,280","2,214,441","1,966,194",0,"82,978,123"
부산,"1,356,987","35,790,624","1,587,777","2,278,673","647,194","478,300","622,380","9,252,628","15,905,680","694,746","3,011,269","3,333,371","1,364,095","1,319,503",8202513,21582650,0,"107,428,390"
대구,4088831,2052748,9978553,848708,204495,56421,285131,650840,4387386,534962,717640,1552294,596792,609220,5527247,1610075,0,"33,701,343"
인천,8853431,3346056,742248,66193313,758821,235480,1001354,2078521,47908289,6496249,9382394,5624537,2065287,7082350,4342438,4182498,0,"170,293,266"
광주,288391,1570815,145182,472371,5684189,32178,84050,424336,2201025,197177,432654,832437,735023,8050402,511656,923180,0,"22,585,066"
대전,79838,1072425,44567,160332,52572,39065,3074949,84199,498352,42046,338823,472983,165379,184690,234868,179875,0,"6,724,963"
울산,531604,10772662,1021298,842478,133374,100123,243801,87037012,4042475,2303751,2804496,2005029,505684,2005858,5474750,4148612,0,"123,973,007"
경기,28279976,16358162,4579782,28584468,3015511,790672,6218051,7334854,106673564,6698115,14949054,23567604,7723494,15174045,12627058,10459944,0,"293,034,354"
강원,1889605,909964,176640,693291,215008,158755,398860,399120,7941057,28185392,8272332,2263634,874813,4035916,3496910,1318871,0,"61,230,168"
충북,1462297,2088155,391710,1516026,283214,628779,1198998,589406,14435993,5335062,19420496,7388191,1273147,3626735,3463836,1562838,0,"64,664,883"
충남,2392610,3614957,338780,3247766,786450,792375,1889762,1174473,20032523,9429581,13736296,85909134,3588962,11045383,5672220,3303967,0,"166,955,239"
전북,1300661,2028167,441893,1091415,775390,206261,1466685,637242,5565206,6989447,9304496,6051482,22436794,10369995,2940887,2515136,0,"74,121,157"
전남,1677416,2499972,524791,1723626,5100377,906291,783164,1919600,15064731,4987361,6734875,7956648,6550730,111246689,4825551,7850304,0,"180,352,126"
경북,2382120,12294623,3166704,2734574,717870,295115,976392,12521726,12384199,7277552,10150118,5783625,2233390,12526057,78919620,6004293,0,"170,367,978"
경남,1836779,22111618,1469256,1883988,671317,292977,889183,7106294,15194872,7402472,9220544,6420723,3129629,8647276,10108435,89744447,0,"186,129,810"
제주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5520847,"5,520,847"
세종,178085,347908,27920,153110,58655,934366,277277,98434,1563406,973966,2004472,2617375,248482,1100297,429544,216519,0,"11,229,816"
