출발지/목적지,,,,,,기간: (2019~2019),,,,,,,,단위(톤/년),,,,
,서울,부산,대구,인천,광주,세종,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,total
서울,"32,615,377","859,478","262,600","1,691,278","196,522","127,295","325,791","550,779","17,279,539","919,960","1,172,843","1,798,445","271,482","623,937","1,331,778","704,418",0,60731522
부산,"1,819,414","40,877,316","1,761,914","3,599,080","908,596","598,895","701,147","13,026,607","18,525,683","858,301","4,362,464","4,108,942","1,502,044","2,425,508",11053198,21789224,0,127918333
대구,783503,3435981,11252162,444803,324300,130409,332431,1856625,2579167,526219,1222594,1712771,619550,930919,8739264,3544909,0,38435607
인천,12061421,3070958,485602,92936079,475700,435280,816600,2638975,58096164,2794757,4499256,9094134,1435605,3275657,4174440,1987671,0,198278299
광주,392870,2348710,212338,360220,6926086,51560,210551,754504,1779222,169339,470535,1075334,878198,8339487,920295,1116391,0,26005640
대전,173498,1310958,76617,239921,69417,111453,3866207,235116,884474,113745,724716,934311,202801,285561,562870,273715,0,10065380
울산,488338,15564102,1100495,796901,256726,196410,303950,101148611,3719703,1567503,1572863,1943008,879507,2254678,7247116,5353531,0,144393442
경기,21074934,17673485,1450458,20788596,1218139,1309630,2587443,4406035,140813006,6822992,12765606,38981676,4279625,4901792,9515318,5067318,0,293656053
강원,2074430,1401706,709912,1983727,332855,463985,625769,1805151,13628830,39990838,5259809,4809139,1462522,2175156,6508647,2044182,0,85276658
충북,1922404,3241416,830068,1761043,463549,1347315,1557682,2281546,13222806,4329075,18410833,8437910,1920330,2547119,5695639,2472561,0,70441296
충남,3049702,5258050,831398,3522537,831753,1491311,2347961,2488740,24584563,2325474,6631537,81175357,4327955,3659474,5007881,2798203,0,150331896
전북,2208227,3089907,1203108,1688531,2159696,696250,1989114,1927584,10665850,2208814,4676695,9766402,36267802,8846343,6027876,4536023,0,97958222
전남,2058909,3911614,1525855,2260270,7048069,1676843,1308980,4408399,13449679,3266261,5782148,9043056,8730761,129135963,8121883,9110439,0,210839129
경북,2387283,17204732,4254852,1843616,763300,490148,1077966,8539236,9416103,3454565,5435226,5444021,2203186,3896714,63771940,7072812,0,137255700
경남,1501038,28586338,3099498,1500842,1004416,427349,939013,9404499,8254060,2556241,3584586,4666749,2834892,6928796,10947281,79738422,0,165974020
제주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9376659,9376659
세종,342030,480023,135665,407434,115502,2581444,649624,293245,3200579,555895,3898433,4668356,563421,634206,1301929,471805,0,20299591
